,mean,std,2.5q,25q,50q,75q,97.5q,mc err,,
v_stim_subj.2.0,1.891791804,0.175939225,1.546746165,1.773795126,1.89206201,2.009356894,2.238596715,0.000876891,,
v_stim_subj.3.0,1.58023137,0.158224623,1.273871544,1.473545355,1.578161591,1.686062434,1.894919158,0.000718809,,
v_stim_subj.4.0,2.191091595,0.238121503,1.7327108,2.028864646,2.186397073,2.347337081,2.669499773,0.000889156,,
v_stim_subj.5.0,1.771217968,0.193176511,1.396515056,1.64181465,1.770010117,1.899774478,2.15218793,0.000753861,,
v_stim_subj.6.0,1.627491639,0.177110141,1.278088283,1.508727637,1.628265689,1.747044803,1.97405247,0.000820183,,
v_stim_subj.7.0,1.499283738,0.164539094,1.179412435,1.388089533,1.498458789,1.608901154,1.825378373,0.000664652,,
v_stim_subj.8.0,2.038788074,0.196717076,1.658278861,1.905531001,2.036634795,2.170196331,2.429792885,0.000829431,,
v_stim_subj.9.0,1.882545749,0.17230896,1.548825341,1.766367598,1.881369651,1.998244919,2.224109087,0.000771198,,
v_stim_subj.10.0,1.119138186,0.134304728,0.853746715,1.028773417,1.119056687,1.21045098,1.38149358,0.000515303,,
v_stim_subj.11.0,1.44366971,0.159202792,1.129806217,1.336839049,1.443717306,1.55045142,1.757877737,0.000758168,,
v_stim_subj.12.0,1.679423891,0.172719,1.341936044,1.563655259,1.678622607,1.795131447,2.021752038,0.000697046,,
v_stim_subj.13.0,1.974710469,0.203938231,1.578916567,1.836245491,1.973930268,2.112334716,2.374103184,0.00096712,,
v_stim_subj.14.0,2.107037977,0.191507677,1.737494325,1.976114202,2.105208037,2.235072173,2.488947974,0.000880966,,
v_stim_subj.15.0,2.069631943,0.20574918,1.672434094,1.930135043,2.0679554,2.206527695,2.481056163,0.000806227,,
v_stim_subj.16.0,1.623885312,0.162284404,1.305292137,1.514432531,1.623516818,1.733378717,1.942689457,0.000751874,,
v_stim_subj.17.0,1.72456673,0.20073386,1.332239303,1.589745031,1.723349219,1.859493297,2.119944563,0.00083974,,
v_stim_subj.18.0,2.159686783,0.197323698,1.780002074,2.025875673,2.156658985,2.291084068,2.554494929,0.00083711,,
v_stim_subj.20.0,1.708860714,0.185654062,1.345237483,1.583293381,1.708991311,1.833625733,2.072550853,0.000783739,,
v_stim_subj.21.0,1.718517607,0.177774072,1.374842384,1.598484837,1.717212623,1.836651134,2.070879696,0.000779385,,
v_stim_subj.22.0,1.38493327,0.154279958,1.083199218,1.28066572,1.384658141,1.489309465,1.687043004,0.000658577,,
v_stim_subj.23.0,1.787749262,0.166862307,1.461081375,1.675066148,1.78718905,1.898385355,2.118876675,0.000797727,,
v_stim_subj.24.0,1.584267409,0.161137667,1.269513808,1.475455564,1.584485858,1.692286093,1.90009057,0.000644507,,
v_stim_subj.25.0,1.535114245,0.168477941,1.206255507,1.422581216,1.534038139,1.647618258,1.868315811,0.000755632,,
v_stim_subj.26.0,1.742956685,0.178536512,1.394482972,1.622755573,1.742476079,1.862823558,2.09354552,0.000770466,,
v_stim_subj.27.0,1.534662696,0.152963414,1.237312934,1.430651043,1.533731177,1.637485268,1.837080409,0.000590969,,
v_stim_subj.28.0,2.168633446,0.200230164,1.78670258,2.031414583,2.164479177,2.300643846,2.570999692,0.000859301,,
v_stim_subj.29.0,1.743215798,0.20619766,1.349028698,1.601005645,1.740156399,1.882100631,2.151918404,0.000929875,,
v_stim_subj.30.0,1.864533167,0.200527448,1.473353206,1.729000563,1.863532983,2.000030029,2.259756186,0.00092112,,
v_stim_subj.31.0,1.48536183,0.152421826,1.18475171,1.382565069,1.485612605,1.588843871,1.782857966,0.000725688,,
v_stim_subj.32.0,2.142966839,0.193710869,1.76886219,2.011385507,2.141852083,2.272281008,2.526244905,0.000909966,,
v_stim_subj.33.0,2.070832681,0.18426784,1.712435739,1.947195663,2.069243748,2.193502129,2.438103448,0.000810485,,
v_stim_subj.34.0,1.495751333,0.185367321,1.136061991,1.369342572,1.494478921,1.620508213,1.859882742,0.001350063,,
v_stim_subj.35.0,1.6322522,0.177280863,1.284121467,1.513495538,1.632433935,1.752551765,1.979587676,0.000772676,,
v_stim_subj.36.0,2.185033933,0.193623713,1.811055305,2.053432415,2.183044331,2.314280667,2.571469996,0.000919054,,
v_stim_subj.37.0,1.349998057,0.168218158,1.014953777,1.237307479,1.353573311,1.466374487,1.671306557,0.000736237,,
v_stim_subj.38.0,1.4475682,0.167334847,1.118338559,1.334916513,1.447972765,1.560691013,1.773314946,0.000723148,,
v_stim_subj.39.0,1.496420431,0.16067887,1.184852487,1.387602586,1.495781221,1.603050277,1.814819428,0.000664511,,
v_stim_subj.40.0,1.814624629,0.171888444,1.482035081,1.699298855,1.813282889,1.929435742,2.155418955,0.000729611,,
v_stim_subj.41.0,1.865504401,0.181428246,1.514061423,1.74249623,1.863671925,1.985893455,2.226778037,0.000852697,,
v_stim_subj.42.0,1.849524269,0.182634137,1.494376171,1.725840528,1.848636414,1.97065167,2.211778421,0.000838843,,
v_stim_subj.43.0,1.669821054,0.170232527,1.339846439,1.555508797,1.669779393,1.784123376,2.005443722,0.000659854,,
v_stim_subj.44.0,2.115269292,0.209621406,1.723441854,1.971208489,2.106678354,2.250292684,2.549875012,0.00104448,,
v_stim_subj.45.0,1.380917286,0.155901574,1.078828072,1.275950941,1.380778744,1.485777993,1.688295947,0.000694395,,
v_stim_subj.46.0,1.333977437,0.161380263,1.018998544,1.225773414,1.333267222,1.441133344,1.652906321,0.000772051,,
v_stim_subj.47.0,1.687937568,0.175087881,1.346156169,1.570601497,1.687241794,1.805256805,2.034146032,0.000742159,,
v_stim_subj.48.0,2.349393102,0.230159404,1.91119749,2.192348537,2.344050193,2.500637052,2.815648887,0.001146403,,
v_stim_subj.49.0,2.283577887,0.209663578,1.881287854,2.140241003,2.280679134,2.423568322,2.699861523,0.000924683,,
v_condition,-0.054245549,0.021546076,-0.096780628,-0.068474006,-0.054253401,-0.040121317,-0.011602114,9.57E-05,,
v_condition_std,0.118149604,0.020086686,0.082170712,0.104269261,0.11699894,0.130762885,0.161049747,0.0001553,,
v_condition_subj.1.0,-0.039353963,0.073698504,-0.183836053,-0.088726358,-0.039148873,0.010045852,0.104956383,0.0003125,,
v_condition_subj.2.0,-0.091907327,0.064245723,-0.219060239,-0.13492866,-0.091697567,-0.04866724,0.033409673,0.000294023,,
v_condition_subj.3.0,-0.017390686,0.064022159,-0.143256664,-0.060996961,-0.01709179,0.025606435,0.108244676,0.000260782,,
v_condition_subj.4.0,0.011731053,0.090256992,-0.163363323,-0.049421505,0.010967147,0.071222797,0.19278565,0.000380373,,
v_condition_subj.5.0,-0.115114555,0.077656005,-0.269997689,-0.166658175,-0.114614178,-0.062659386,0.035470641,0.000347748,,
v_condition_subj.6.0,-0.236070857,0.084254281,-0.405866385,-0.291779856,-0.234135817,-0.178928452,-0.074640633,0.000411168,,
v_condition_subj.7.0,-0.046316886,0.066313838,-0.176234013,-0.090883622,-0.046169969,-0.001917344,0.083813134,0.00027593,,
v_condition_subj.8.0,-0.050155321,0.073787497,-0.195032077,-0.099535316,-0.049966181,-0.001067123,0.095405787,0.000325388,,
